Textbox4,,,,,,,,,,,,,,,,,,,
"
MP WISE DETAILS OF PENDING (GOI)  RELEASE AS ON 21/08/2022
",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
State,House,Sno,MPName,Constituency,District,TotalEntitlementAmount_crore,TotalGOIRelease_crore,ReleasePendingAmount_crore,UnSanctionBalance_crore,UnspentBalance_crore,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount_crore,PendingInstallmentNumberAndYear,ReasonsforNotRel,ls_start_year,ls_end_year,lok_sabha
A & N Islands,1,1,Shri Bishnu Pada Ray,ANDAMAN & NICOBAR ISLANDS,ANDAMANS,20,20,0,2.24,0.77,2,2013-2014,14-02-2014,2.5,,,2009,2014,15
Andhra Pradesh,1,2,Shri Asaduddin Owaisi,HYDERABAD,HYDERABAD,19,19,0,1.83,0,2,2013-2014,17-12-2014,2.5,,,2009,2014,15
Andhra Pradesh,1,3,Shri Bapiraju Kanumuri,NARASAPURAM,WEST GODAVARI,21.5,19,2.5,1.26,0,2,2013-2014,9/3/18,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,4,Shri Aruna Kumar Vundavalli,RAJAHMUNDRY,EAST GODAVARI,19,19,0,4.09,0,2,2013-2014,8/9/14,2.5,,,2009,2014,15
Andhra Pradesh,1,5, Panabaka Lakshmi,BAPATLA,PRAKASAM,19,19,0,1.78,0,2,2013-2014,8/1/15,2.5,,,2009,2014,15
Andhra Pradesh,1,6,Dr. Chinta Mohan,TIRUPATI(SC),CHITTOOR,21.5,19,2.5,0,0,2,2013-2014,3/6/14,2.5,3 / 2013-2014,,2009,2014,15
Andhra Pradesh,1,7,Dr. Jhansi Lakshmi Botcha,VIZIANAGARAM,VIZIANAGARAM,19,19,0,0.03,0,2,2013-2014,6/12/13,2.5,,,2009,2014,15
Andhra Pradesh,1,8,Dr. Gaddam Vivekanand,PEDDAPALLE(SC),KARIMNAGAR,21.5,19,2.5,0.7,0,2,2013-2014,22-04-2015,2.5,3 / 2013-2014,,2009,2014,15
Andhra Pradesh,1,9,Dr. Kruparani Killi,SRIKAKULAM,SRIKAKULAM,21.5,19,2.5,0.3,0,2,2013-2014,2/7/14,2.5,3 / 2013-2014,,2009,2014,15
Andhra Pradesh,1,10,Dr. Manda Jagannath,NAGARKURNOOL(SC),MAHBUBNAGAR,21.5,19,2.5,1.04,0,2,2013-2014,16-01-2014,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,11,Shri Anantha Venkata Rami Reddy,ANANTAPUR,ANANTAPUR,19,19,0,0.33,0,2,2013-2014,30-12-2013,2.5,,,2009,2014,15
Andhra Pradesh,1,12,Dr. M. Mangapatti Pallam Raju,KAKINADA,EAST GODAVARI,21.5,19,2.5,3.32,0,2,2013-2014,13-07-2016,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,13,Shri Annayyagari Sai Prathap,RAJAMPET,CUDDAPAH,19,19,0,0.35,0,2,2013-2014,3/6/14,2.5,,,2009,2014,15
Andhra Pradesh,1,14,Shri G.V . Harsha Kumar,AMALAPURAM(SC),EAST GODAVARI,21.5,19,2.5,2.88,0,2,2013-2014,24-07-2015,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,15,Shri Jaipal Sudini Reddy,CHELVELLA,RANGAREDDY,21.5,19,2.5,1.7,0,2,2013-2014,18-05-2015,2.5,"3 / 2010-2011,3 / 2011-2012,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,16,Shri K. K. Chandrasekhar Rao,MAHABUBNAGAR,MAHBUBNAGAR,21.5,19,2.5,1.01,0,2,2013-2014,4/7/14,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,17,Shri Komatireddy Raj Gopal Reddy,BHONGIR,NALGONDA,21.5,19,2.5,0.86,0,2,2013-2014,4/7/14,2.5,"3 / 2010-2011,3 / 2013-2014",,2009,2014,15
Andhra Pradesh,1,18,Shri Kotla Jaya Surya Prakash Reddy,KURNOOL,KURNOOL,21.5,19,2.5,0.54,0,2,2013-2014,10/7/14,2.5,3 / 2013-2014,"Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2009,2014,15
Andhra Pradesh,1,19,Shri Kavuri Sambasiva Rao,ELURU,WEST GODAVARI,19,16.5,2.5,2.89,0,1,2013-2014,12/7/13,2.5,"3 / 2010-2011,3 / 2013-2014","Bank Statement Awaited, Eligible MPR not Received, Provisional Utilisation Certificate Pending.",2009,2014,15
Andhra Pradesh,1,20,Shri Kristappa Nimmala,HINDUPUR,ANANTAPUR,19,19,0,-0.21,0,2,2013-2014,30-12-2013,2.5,,,2009,2014,15
Andhra Pradesh,1,21,Shri Konakalla Narayana Rao,MACHILIPATNAM,KRISHNA,21.5,16.5,5,0.26,0,1,2013-2014,20-08-2014,2.5,"2 / 2013-2014,3 / 2013-2014,3 / 2010-2011,3 / 2011-2012",,2009,2014,15
