Sl No,MP Name,Constituency ,Entitlement,FundReceivedGOI,AmountAvailable,WorksRecommCost,WSCost,ActualExpenditureIncurred,UtilizationOverRelease,UnspentBalance
1, kuldeep rai sharma, ANDAMAN AND NICOBAR ISLANDS,17,5,5.2038,18.2939,10.9222,2.5269,50.538,2.6769
2, Srinivas Kesineni, VIJAYAWADA,17,9.5,15.3459,36.0984,22.8532,12.5675,130.289474,2.7784
3, Kuruva Gorantla Madhav, HINDUPUR,17,9.5,18.5668,34.0322,25.2437,16.1535,168.036842,2.4133
4, MVVV Satyanarayana, MVVV VISAKHAPATNAM,17,7,9.6406,8.9386,8.6086,7.6388,107.697143,2.0018
5, Raghu Ramakrishna Raju Kanumuru, NARASAPURAM,17,5,11.7435,12.35,6.96,2.1454,40.908,9.5981
6, Maddila Gurumoorthy, TIRUPATI(SC),12,2,12.6146,25.9159,22.5134,10,498,2.6146
7, Beesetti Venkata Satyavathi, ANAKAPALLE,17,7,16.1463,20.8276,15.7482,13.3994,189.42,2.7469
8, Talari Rangaiah, ANANTAPUR,24.5,7,10.9197,27.7902,22.5322,9.7397,137.138571,1.18
9, Pocha Brahmananda Reddy, NANDYAL,27,17,18.3777,22.5189,22.121,16.0729,92.546471,2.3048
10, Lavu Sri Krishna Devarayalu, NARASARAOPET,17,7,11.1752,13.6755,13.2705,9.9319,141.884286,1.2433
11, Kinjarapu Ram Mohan Naidu, SRIKAKULAM,17,9.5,15.5906,21.1356,18.0881,14.5268,150.913684,1.0638
12, Goddeti Madhavi, ARAKU(ST),17,7,11.1461,16.0751,12.7113,10.5104,148.148571,0.6357
13, Sanjeev Kumar Singari, KURNOOL,19.5,7,7.2479,11.8554,11.3355,7.2349,101.355714,0.013
14, Magunta Sreenivasulu Reddy, ONGOLE,24.5,5,10.3075,17.0738,17.0738,8.6391,170.782,1.6684
15, Y.S. Avinash Reddy, KADAPA,17,7,11.0538,17.8726,12.3677,8.1337,114.195714,2.9201
16, Durga Prasad Rao Balli-Ex, TIRUPATI(SC),5,5,5.1501,5.935,4.5,1.9899,37.798,3.1602
17, Chandra Sekhar Bellana, VIZIANAGARAM,17,7,12.0785,12.6092,11.9143,9.8712,139.017143,2.2073
18, Margani Bharat, RAJAHMUNDRY,17,7,15.6804,25.2496,24.0581,13.4402,190.002857,2.2402
19, Nallakonda Gari Reddeppa, CHITTOOR,17,7,13.4497,24.0586,24.0586,10.0103,141.004286,3.4394
20, Jayadev Galla, GUNTUR,17,5,8.7015,11.7188,11.7188,6.3375,124.75,2.364
21, Nandigam Suresh, BAPATLA,17,7,11.8441,20.3126,19.9126,11.8288,166.982857,0.0153
22, Adala Reddy, NELLORE(SC),17,5,8.6926,11.753,9.633,6.7939,133.878,1.8987
23, Balashowry Vallabbhaneni, MACHILIPATNAM,17,7,13.2067,21.8703,18.2866,10.2996,145.137143,2.9071
24, Midhun Reddy, RAJAMPET,19.5,7,12.3909,28.8043,23.7913,10.3053,145.218571,2.0856
25, Geetha Viswanath Vanga, KAKINADA,17,7,7.3494,14.5425,11.2576,5.3381,74.258571,2.0113
26, Chinta Anuradha, AMALAPURAM(SC),17,5,5.304,13.0003,11.5304,5.1252,100.504,0.1788
27, Kotagiri Sridhar, ELURU,17,7,7.5129,24.7643,17.4073,6.0219,84.027143,1.491
28, Kiren Rijiju, ARUNACHAL WEST,17,7,7.3959,7.0795,6.7695,6.3345,88.492857,1.0614
29, Tapir Gao, ARUNACHAL EAST,17,7,7.9879,7.66,7.66,7.8,109.428571,0.1879
30, Teli Rameswar, DIBRUGARH,17,7,7.1836,6.9236,6.3696,6.1596,85.994286,1.024
31, Pallab Lochan Das, TEZPUR,17,9.5,9.6472,9.4595,9.4593,8.7325,91.615789,0.9147
32, Gaurav Gogoi, KALIABOR,17,12,12.1514,11.7472,11.1682,10.9593,91.3275,1.1921
33, Ajmal Badruddin, DHUBRI,17,12,12.1643,9.5434,9.5434,8.375,68.208333,3.7893
34, Rajdeep Roy, SILCHAR,17,12,12.1255,12,12,11.8771,98.975833,0.2484
35, Naba (Hira) Kumar Sarania, KOKRAJHAR (ST),17,9.5,9.58,9.1197,9.1115,9.1815,94.647368,0.3985
36, Horen Sing Bey, AUTONOMOUS DISTRICT(ST),29.5,19.5,20.2547,20,20,18.6401,95.590256,1.6146
37, Queen Oja, GUWAHATI,17,9.5,10.0725,7.36,9.1948,7.7379,81.451579,2.3346
38, Abdul Khaleque, BARPETA,17,7,7.1251,6.8887,6.8487,6.0964,85.091429,1.0287
39, Pradyut Bordoloi, NOWGONG,17,12,12.2237,12.4072,11.7019,11.1719,91.099167,1.0518
40, Kripanath Mallah, KARIMGANJ (SC),17,7,7.1458,7,6.6899,6.3294,90.42,0.8164
41, Dilip Saikia, MANGALDOI,17,9.5,9.6428,9.535,8.695,7.845,82.578947,1.7978
42, Topon Kumar Gogoi, JORHAT,17,7,7.276,6.9276,6.8976,6.258,87.4,1.018
43, Pradan Baruah, LAKHIMPUR,17,12,12.2036,12,12,11.3813,94.844167,0.8223
44, Dinesh Chandra Yadav, MADHEPURA,17,5,9.5163,14.8,8.7427,8.3643,165.286,1.152
45, Ravi Shankar Prasad, PATNA SAHIB,17,5,5.0856,6.3761,6.3149,5.0342,100.684,0.0514
46, Ashwini Kumar Choubey, BUXAR,17,9.5,9.7288,9.6614,9.5195,8.6115,90.647368,1.1173
47, Ashok Kumar Yadav, MADHUBANI,17,9.5,15.2984,11.7461,14.3256,13.9613,144.961053,1.3371
48, Kaushalendra Kumar, NALANDA,17,7,9.8061,14.5493,10.4794,8.8755,126.792857,0.9306
49, Mahabali Singh, KARAKAT,17,9.5,16.0257,15.7636,15.2794,13.152,137.915789,2.8737
50, Ajay Nishad, MUZAFFARPUR,17,12,13.1324,15.8,13.1249,12.8674,107.228333,0.265
51, Raj Kumar Singh, ARRAH,17,2.5,2.7988,9.5508,1.9077,0,0,2.7988
52, Giridhari Yadav, BANKA,17,9.5,9.6569,12.5518,9.6218,8.3034,86.351579,1.3535
53, Prince Raj, SAMASTIPUR(SC),17,9.5,9.8534,11.55,10.6558,9.6436,101.511579,0.2098
54, Ajay Kumar Mandal, BHAGALPUR,17,7,9.2844,20.7105,15.4899,7.9956,114.222857,1.2888
55, Baidyanath Prasad Mahto, VALMIKI NAGAR,5,5,5.0609,2.5,2.0787,1.5676,30.352,3.4933
56, Chirag Paswan, JAMUI(SC),17,7,7.1969,13.5914,6.9644,6.222,86.885714,0.9749
57, Santosh Kumar, PURNEA,17,7,10.4924,13.7,12.0742,10.4374,147.105714,0.055
58, Ramprit Mandal, JHANJHARPUR,17,12,12.2359,12.5246,12.0195,11.8725,96.9375,0.3634
59, Giriraj Singh, BEGUSARAI,17,7,7.3094,10.5322,5.8309,5.8809,83.298571,1.4285
60, Sushil Kumar Singh, AURANGABAD,17,5,5.3066,5.3,5.2827,4.3108,86.216,0.9958
61, Rajiv Pratap Rudy, SARAN,34.5,5,5.3092,4.8136,4.8136,2.431,48.12,2.8782
62, Nityanand Rai, UJJARPUR,17,7,9.108,15.0099,9.2585,6.71,95.857143,2.398
63, Sanjay Jaiswal, PASCHIM CHAMPARAN,17,5,5.2241,6.2,5.3021,4.8947,96.894,0.3294
64, Dulal Chandra Goswami, KATIHAR,17,12,12.2851,22.0391,12.8006,10.3942,86.618333,1.8909
65, Chhedi Paswan, SASARAM(SC),17,12,13.6504,14.8776,13.4934,12.8725,106.229167,0.7779
66, Pradeep Kumar Singh, ARARIA,17,7,9.0098,15.7941,15.5171,8.9798,128.282857,0.03
67, Sunil Kumar, VALMIKI NAGAR,12,4.5,7.6708,8.5,8.0176,6.6069,145.931111,1.0639
68, Ram Kripal Yadav, PATALIPUTRA,17,5,5.1963,16.7877,5.1768,2.2122,44.244,2.9841
69, Mehboob Ali Kaiser, KHAGARIA,17,12,12.6907,7.556,11.934,11.934,99.45,0.7567
70, Chandeshwar Prasad, JAHANABAD,17,7,7.3311,6.8701,6.6638,6.4941,90.772857,0.837
71, Dileshwar Kamait, SUPAUL,17,12,15.5585,25.3943,18.8021,15.4177,127.230833,0.1408
72, Rajiv Ranjan (Lalan) Singh, MUNGER,17,7,7.2086,18.2802,6.3206,4.9269,68.384286,2.2817
73, Pashupati Kumar Paras, HAJIPUR(SC),17,9.5,11.0924,14.5,13.2015,9.2884,97.12,1.804
74, Kavita Singh, SIWAN,17,7,7.2904,17.1,12.5898,6.824,95.485714,0.4664
75, Veena Devi, VAISHALI,17,5,5.2009,8.61,5.7884,5.11,100.2,0.0909
76, Mohammad Jawed, KISHANGANJ,19.5,9.5,9.7493,21.0202,11.6635,8.257,84.915789,1.4923
77, vijay kumar, GAYA (SC),17,9.5,9.7882,9.5,9.3915,8.0939,83.198947,1.6943
78, Chandan Singh, NAWADA,17,5,5.1976,4.4848,4.3834,2.9628,57.256,2.2348
79, Sunil Kumar Pintu, SITAMARHI,17,7,7.1757,7.8652,7.5163,6.9107,98.724286,0.265
80, Radha Mohan Singh, PURVI CHAMPARAN,17,7,10.0541,11.0654,9.6699,7.163,102.328571,2.8911
81, Alok Kumar Suman, GOPALGANJ (SC),17,9.5,11.2047,13.9864,10.2506,9.4593,97.571579,1.7454
82, Janardan Singh Sigriwal, MAHARAJGANJ,17,5,5.2069,7.501,4.7771,5.1892,101.784,0.0177
83, Gopal Jee Thakur, DARBHANGA,17,5,5.3635,6.2999,6.2999,3.6446,70.892,1.7189
84, Rama Devi, SHEOHAR,17,9.5,9.692,9.1302,9.121,8.7119,91.704211,0.9801
85, Kirron Kher, CHANDIGARH,17,7,11.7007,25.2589,15.7859,11.5348,163.354286,0.1659
86, Jyotsna Charandas Mahant, KORBA,17,12,12.5897,17.8266,12.9997,11.8159,96.465833,0.7738
87, Mohan Mandavi, KANKER(ST),17,9.5,9.5453,9.2612,9.1551,9.0373,93.129474,0.508
88, Santosh Pandey, RAJNANDGAON,17,9.5,11.2534,11.7832,10.2304,10.4204,107.688421,0.833
89, Sunil Kumar soni, RAIPUR,17,7,8.0214,11.686,6.9775,5.4322,75.602857,2.5892
90, Gomati Sai, RAIGARH(ST),17,12,12.9598,14.79,12.1949,11.6778,95.315,1.282
91, Guharam Ajgalley, JANJGIR CHAMPA(SC),17,12,13.2143,12.8874,12.5668,11.0942,90.451667,2.1201
92, Renuka Singh Saruta, SARGUJA(ST),17,9.5,9.6483,12.6328,9.1616,8.2221,85.074737,1.4262
